Date,HML,SG,SV,BG,BV,MOM,SL,SH,BL,BH
194206,0.54,1.0092,2.3613,3.0527,2.7837,-1.32,3.22,1.51,2.54,1.62
194207,2.4,5.168,5.1245,2.6864,7.5371,0.75,4.21,5.02,2.66,3.35
194208,1.35,2.2429,2.5306,1.7161,4.1208,-0.18,2.47,2.2,2.31,2.2
194209,2.35,2.1868,5.9093,2.6162,3.6029,-0.64,4.48,3.36,3.21,3.05
194210,6.39,8.291,14.3301,5.3109,12.0528,-4.07,14.82,7.74,8.31,7.25
194211,-4.21,-1.0955,-4.0203,1.0982,-4.3893,-0.88,-3.31,-2.01,2.05,-1.01
194212,0.58,2.6024,2.6673,4.8847,5.9799,3.26,1.53,4.11,3.01,6.96
194301,8.18,11.6914,23.7079,5.3474,9.6978,-0.36,18.47,19.21,7.82,6.36
194302,6.4,10.8494,17.2581,4.8117,11.1942,-1.55,15.63,10.04,4.75,7.24
194303,5.48,10.9334,14.9645,4.1328,11.0704,4.85,10.67,15.39,4.6,9.59
194304,5.82,-0.9484,8.082,-0.104,2.5081,6.17,0.2,7.32,-0.3,4.93
194305,3.25,8.8391,13.2307,5.0198,7.127,5.64,6.12,13.89,4.73,8.23
194306,-0.7,-0.2795,0.4921,2.1659,-0.0012,-1.29,1.57,-0.29,1.69,0.98
194307,-2.29,-5.1017,-9.0831,-4.7635,-5.3674,-4.57,-4.64,-10.93,-3.98,-6.82
194308,-0.43,0.3567,0.7947,1.5042,0.2076,0.88,-0.82,1.03,0.77,0.69
194309,1.43,2.9396,5.4108,2.1982,2.5796,1.8,2.2,4.94,1.91,2.78
194310,1.64,-0.6832,0.7552,-1.4439,0.3902,-0.57,0.91,0.05,-0.72,-1
194311,-4.02,-7.0715,-10.5743,-4.76,-9.3027,-4.6,-8.03,-11.3,-4.88,-10.82
194312,3.24,7.2024,12.0698,5.6723,7.2768,6.03,9.34,12.86,4.67,13.22
194401,2.16,5.0015,5.2702,0.8163,4.8589,0.98,4.57,6.01,1.33,1.85
194402,0.84,1.3581,0.6429,0.0507,2.4419,0.33,1.35,1.89,-0.22,-0.11
194403,3.43,2.0085,7.6668,2.2053,3.4078,2.51,3.74,6.15,1.77,4.39
194404,-1.14,-1.9868,-4.0867,-1.3977,-1.5758,0.55,-3.73,-3.27,-1.93,-1.29
194405,1.04,5.8092,7.0391,4.6074,5.46,1.98,6.2,7.41,3.69,6.45
194406,1.75,9.3865,10.4388,4.9317,7.3889,-5.13,15.35,7.41,7.37,5.04
194407,-0.42,0.2144,-1.4495,-1.6579,-0.8375,0.13,-1.29,-1.17,-1.49,-1.36
194408,-1.49,4.5761,1.8145,1.3605,1.146,4.66,1.68,6.53,0.48,4.95
194409,-1.16,1.5805,-0.1685,0.3319,-0.2435,-1.06,0.22,-0.75,0.21,-0.93
194410,-0.33,0.1784,-0.4625,-0.0654,-0.0829,-1.34,-0.7,-0.33,1.14,-1.91
194411,2.38,0.9635,3.7163,1.1612,3.1649,1.34,2.24,3.66,1.35,2.61
194412,5.91,6.0143,10.6257,2.4976,9.6992,3.36,8.14,7.97,2.84,9.72
194501,0.67,5.4526,4.1302,0.7604,3.4172,0.02,5.14,5.66,1.96,1.49
194502,4.34,6.6597,10.502,5.1483,9.9868,3.1,8.4,11.45,5.33,8.49
194503,-1.74,-4.406,-6.364,-3.1965,-4.7147,-3.26,-3.34,-7.2,-3.07,-5.72
194504,3.24,7.6035,9.9806,6.7601,10.8652,4.82,6.26,11.02,6.72,11.61
194505,0.36,2.8106,4.1159,2.0098,1.4259,0.11,3.5,3.48,1.86,2.1
194506,4.21,3.0464,6.7503,-1.2111,3.4995,4.14,3.55,5.64,-0.54,5.64
194507,-2.62,-3.0594,-5.4735,-1.4266,-4.2511,-2.7,-3.09,-5.01,-1.59,-5.06
194508,-4.27,7.761,4.813,8.5886,3.0064,-1.31,5.83,5.46,6.24,3.97
194509,0.42,6.563,6.3306,4.5548,5.634,1.25,6.73,5.64,3.93,7.53
194510,2.13,6.1752,7.1985,2.3629,5.6065,0.12,7.14,5.6,3.36,5.13
194511,3.96,9.342,11.428,2.8819,8.7155,4.11,9.77,10.65,3.36,10.71
194512,-2.28,4.0814,1.6692,1.7707,-0.3677,1.25,3.23,2.12,0.77,4.38
194601,2.48,9.6521,12.2513,6.0984,8.4635,3.78,7.44,11.24,4.53,8.28
194602,-1.46,-6.2301,-7.3297,-5.8802,-7.7026,-1.44,-5.85,-7.05,-5.31,-7
194603,-0.54,6.5063,5.6932,5.1627,4.8957,2.68,4.45,6.38,5.31,8.74
194604,0.32,4.3708,6.3104,3.7606,2.4607,2.98,2.41,7.18,4.08,5.26
194605,1.28,6.7327,5.839,3.1851,6.645,-0.46,5.85,5.43,3.71,3.21
194606,-0.39,-4.6884,-5.9474,-4.4139,-3.9433,-2.5,-3.5,-5.88,-2.5,-5.12
194607,0.07,-4.823,-5.0232,-2.7259,-2.3882,-0.02,-4.79,-4.36,-2.27,-2.74
194608,0.55,-8.496,-7.5082,-6.3142,-6.1978,-0.04,-7.96,-8.73,-7.08,-6.39
194609,-1.92,-13.9706,-15.7756,-9.7783,-11.8073,0.74,-16.35,-14.14,-10.44,-11.16
194610,3.46,-3.1786,0.7589,-2.5023,0.48,1.03,-1.39,-0.91,-2.61,-1.03
194611,1.47,-1.5735,1.3003,-0.2321,-0.1738,0.19,-0.73,-0.98,-1.38,-0.76
194612,-1.36,5.7084,4.3376,5.2767,3.9343,-0.08,5.23,5.07,4.97,4.96
194701,-0.73,4.5305,3.2753,2.1741,1.9613,-6.36,6.23,2.92,7.42,-1.99
194702,0.15,-1.2703,0.873,0.071,-1.7817,-0.52,-0.53,0.28,0.14,-1.71
194703,0.61,-3.3564,-2.3985,-1.793,-1.5219,4.13,-5.42,-1.42,-4.66,-0.39
194704,0.85,-9.3357,-8.095,-5.1304,-4.6654,4.99,-11.53,-6.24,-8.65,-3.97
194705,0.33,-5.22,-3.6097,-1.1203,-2.0662,3.34,-6.35,-3.03,-3.76,-0.4
194706,-0.59,4.3188,5.0277,6.4523,4.5555,-1.67,5.62,2.87,5.52,4.92
194707,2.82,5.2344,7.0484,3.5118,7.3342,-3.43,7.06,5.54,8.38,3.03
194708,0.18,-1.8585,-1.1507,-1.8587,-2.1997,3.33,-2.71,0.62,-4.7,-1.38
194709,1.36,0.4098,2.6373,-0.6744,-0.1814,0.01,0.57,1.78,0.34,-0.85
194710,0.07,3.5397,2.9041,2.2304,3.0043,1.57,3.12,4.42,1.43,3.28
194711,1.1,-4.4555,-2.5478,-2.0816,-1.7796,4.27,-6.01,-1.42,-4.67,-0.73
194712,3.71,0.1759,3.0769,2.0173,6.5408,3.62,-0.06,3.99,0.9,4.1
194801,1.39,-1.7489,-0.1724,-4.539,-3.336,-4.3,1.09,-3.21,-1.24,-5.54
194802,0.07,-5.9905,-5.811,-4.6491,-4.6973,1.44,-7.32,-6.83,-6.13,-3.75
194803,4.5,6.4133,12.234,7.8154,11.0026,-0.31,9.03,9.28,10.42,9.54
194804,4.11,1.2935,4.686,2.2742,7.0963,4.09,1.94,5.05,1.26,6.34
194805,-1.27,9.3433,7.4827,8.505,7.8323,2.3,8.97,9.69,4.66,8.53
194806,2.81,-2.8594,0.4448,-0.6228,1.7011,4.08,-3.41,2.49,-0.97,1.28
194807,0.14,-5.0394,-5.4277,-5.0109,-4.3526,-1.61,-5.15,-6.17,-3.6,-5.79
194808,0.28,-1.2187,-0.3647,0.877,0.5907,0.23,-1.58,-0.03,1.25,0.16
194809,-1.71,-2.9725,-5.4006,-2.7272,-3.726,-1.31,-4.48,-5.48,-2.49,-4.1
194810,0.58,4.065,5.3752,6.4318,6.2724,2.8,3.1,6.77,5.31,7.24
194811,-4.13,-9.6917,-12.909,-8.3439,-13.3862,0.54,-12.64,-11.23,-10.47,-10.81
194812,-1.94,1.377,0.1269,4.9312,2.2947,4.63,-1.47,3.72,0.59,4.65
194901,1.23,1.2533,2.9558,0.5644,1.3304,-2.9,3.54,1.38,2.5,-1.16
194902,-0.86,-5.4013,-5.5692,-2.4792,-4.0374,-0.41,-5.18,-5.64,-3.06,-3.42
194903,1.29,6.3941,8.151,4.2292,5.0451,-0.94,7.7,6.86,5.34,4.3
194904,-1.13,-1.6677,-3.3838,-2.076,-2.6169,3.1,-4.7,-1.56,-4.34,-1.28
194905,-2.37,-3.8322,-5.1082,-1.8599,-5.3144,2.98,-7.18,-3.43,-4.26,-2.04
